év;név;ország;sportág;helyezés
1912;Dwight Edwin STONES;USA;magasugrás;1
1912;Heidemarie ROSENDAHL;FRG;távolugrás;1
1908;John BILLER;USA;helyből magasugrás;1
2000;Virgilijus ALEKNA;LTU;diszkoszvetés;1
2000;Lars RIEDEL;GER;diszkoszvetés;2
1912;Ludvik DANEK;TCH;diszkoszvetés;1
1918;Fortune Edward GORDIEN;USA;diszkoszvetés;1
1908;Konstantinos TSICLITIRAS;GRE;helyből magasugrás;2
1916;Udo BEYER;GDR;súlylökés;1
1968;Nelson PRUDENCIO;BRA;hármasugrás;2
1912;L,Jay SILVESTER;USA;diszkoszvetés;2
1928;Lillian COPELAND;USA;diszkoszvetés;2
1926;Viktor TSYBULENKO;URS;gerelyhajítás;1
2008;Ibrahim CAMEJO;CUB;távolugrás;1
1932;Lillian COPELAND;USA;diszkoszvetés;1
1921;Glenn GRAHAM;USA;rúdugrás;2
1900;Meyer PRINSTEIN;USA;hármasugrás;1
1988;Romas UBARTAS;URS;diszkoszvetés;2
2012;Elena ISINBAEVA;RUS;rúdugrás;1
1921;Gunnar LINDSTRÖM;SWE;gerelyhajítás;2
1922;Ragnar LUNDBERG;SWE;rúdugrás;1
1996;Oleksiy KRYKUN;UKR;kalapácsvetés;1
1996;Astrid KUMBERNUSS;GER;súlylökés;1
1901;Nicolaos GEORGANDAS;GRE;diszkoszvetés;1
1928;Patrick O'CALLAGHAN;IRL;kalapácsvetés;1
1901;Leroy SAMSE;USA;rúdugrás;2
1996;John GODINA;USA;súlylökés;2
1992;Javier SOTOMAYOR;CUB;magasugrás;1
1988;Werner GÜNTHÖR;SUI;súlylökés;1
1912;Benjamin W, ADAMS;USA;helyből távolugrás;1
1920;Edwin MYERS;USA;rúdugrás;1
1968;Miloslava REZKOVA-HUBNER;TCH;magasugrás;1
1996;Andrei TIVONTCHIK;GER;rúdugrás;1
1900;Alvin KRAENZLEIN;USA;távolugrás;1
2000;Nicola VIZZONI;ITA;kalapácsvetés;2
2008;Elena ISINBAEVA;RUS;rúdugrás;1
2012;Anna CHICHEROVA;RUS;magasugrás;1
1912;Yuri TARMAK;URS;magasugrás;1
1928;Levi B, CASEY;USA;hármasugrás;2
2008;Blanka VLASIC;CRO;magasugrás;2
1960;Eeles Enok LANDSTRÖM;FIN;rúdugrás;1
1996;Vasiliy KAPTYUKH;BLR;diszkoszvetés;1
2000;Jan ZELEZNY;CZE;gerelyhajítás;1
1961;Tamara PRESS;URS;diszkoszvetés;1
1908;Martin SHERIDAN;USA;klasszikus stílusú diszkoszvetés;1
1968;Richard Douglas FOSBURY;USA;magasugrás;1
1961;Oleg FEDOSEEV;URS;hármasugrás;2
2008;Evgeny LUKYANENKO;RUS;rúdugrás;2
1901;William Wesley COE;USA;súlylökés;2
1896;Robert GARRETT;USA;diszkoszvetés;1
1928;Silvio M, CATOR;HAI;távolugrás;2
1936;Earle Elmer MEADOWS;USA;rúdugrás;1
1901;Louis WILKINS;USA;rúdugrás;1
1961;Vilmos VARJU;HUN;súlylökés;1
2001;Virgilijus ALEKNA;LTU;diszkoszvetés;1
2012;Antti RUUSKANEN;FIN;gerelyhajítás;1
1928;Charles English MCGINNIS;USA;rúdugrás;1
1926;Marianne WERNER-SCHULZE-ENTRUP;EUA;súlylökés;1
1926;Robert RICHARDS;USA;rúdugrás;1
1918;Giuseppe TOSI;ITA;diszkoszvetés;2
1988;Tapio KORJUS;FIN;gerelyhajítás;1
1960;Richard Aldrich BABKA;USA;diszkoszvetés;2
1960;Vladimir GORYAEV;URS;hármasugrás;2
1928;Mildred Olive WILEY;USA;magasugrás;1
1932;Ruth OSBURN;USA;diszkoszvetés;2
1920;Paavo JAALE-JOHANSSON;FIN;gerelyhajítás;1
1926;Nadezhda KONYAEVA;URS;gerelyhajítás;1
2008;Tomasz MAJEWSKI;POL;súlylökés;1
2000;Iryna YATCHENKO;BLR;diszkoszvetés;1
1996;Stephen James SMITH;GBR;magasugrás;1
2001;Hrysopiyi DEVETZI;GRE;hármasugrás;2
1996;Jean GALFIONE;FRA;rúdugrás;1
1928;Bela SZEPES-STRAUCH;HUN;gerelyhajítás;2
1961;Ralph Harold BOSTON;USA;távolugrás;2
1908;Eric LEMMING;SWE;szabad stílusú gerelyhajítás;1
1921;Lee BARNES;USA;rúdugrás;1
1921;William De Hart HUBBARD;USA;távolugrás;1
1996;Ellina ZVEREVA;BLR;diszkoszvetés;1
1900;Irving BAXTER;USA;rúdugrás;1
1996;Xinmei SUI;CHN;súlylökés;2
1928;John H, KUCK;USA;súlylökés;1
1961;Mihaela PENES;ROU;gerelyhajítás;1
1912;Arnie ROBINSON;USA;távolugrás;1
1996;Balazs KISS;HUN;kalapácsvetés;1
1968;George Roger WOODS;USA;súlylökés;2
1968;Giuseppe GENTILE;ITA;hármasugrás;1
1932;Eino PENTTILA;FIN;gerelyhajítás;1
1961;Irena SZEWINSKA;POL;távolugrás;2
1932;Jadwiga WAJSOURNA;POL;diszkoszvetés;1
1932;Jean SHILEY;USA;magasugrás;1
1981;Gary HONEY;AUS;távolugrás;2
1992;Galina ASTAFEI;ROU;magasugrás;2
1992;Natalia SHIKOLENKO;EUN;gerelyhajítás;2
1901;Lawson N, ROBERTSON;USA;helyből magasugrás;1
1992;Maritza MARTEN;CUB;diszkoszvetés;1
1980;Viktor SANEEV;URS;hármasugrás;2
2008;Maurren Higa MAGGI;BRA;távolugrás;1
1912;Ralph ROSE;USA;súlylökés;2
1901;Joseph F, STADLER;USA;helyből magasugrás;2
1988;Seppo Henrik RATY;FIN;gerelyhajítás;1
1921;Sverre HANSEN;NOR;távolugrás;1
2000;Olga KUZENKOVA;RUS;kalapácsvetés;2
2012;Anita WLODARCZYK;POL;kalapácsvetés;2
2012;Caterine IBARGUEN;COL;hármasugrás;2
1912;Frank MURPHY;USA;rúdugrás;1
1916;Hannu Juhani SIITONEN;FIN;gerelyhajítás;2
2001;Matt HEMINGWAY;USA;magasugrás;2
1968;Eduard GUSHCHIN;URS;súlylökés;1
1921;Jonni MYYRÄ;FIN;gerelyhajítás;1
1900;Rudolf BAUER;HUN;diszkoszvetés;1
2012;Bjorn OTTO;GER;rúdugrás;2
1918;Ann-Britt LEYMAN;SWE;távolugrás;1
1901;Ray EWRY;USA;helyből magasugrás;1
1926;Adhemar FERREIRA DA SILVA;BRA;hármasugrás;1
1908;Cornelius WALSH;CAN;kalapácsvetés;1
1922;Marianne WERNER-SCHULZE-ENTRUP;GER;súlylökés;2
1918;John WINTER;AUS;magasugrás;1
1961;Gyula ZSIVOTZKY;HUN;kalapácsvetés;2
1960;Birute ZALOGAJTITE-KALEDENE;URS;gerelyhajítás;1
1912;Randel Luvelle WILLIAMS;USA;távolugrás;1
1988;Natalya LISOVSKAYA;URS;súlylökés;1
1932;Simeon Galvez TORIBIO;PHI;magasugrás;1
1918;James Emanuel FUCHS;USA;súlylökés;1
1920;Vilho Immanuel TUULOS;FIN;hármasugrás;1
1900;Frantisek JANDA;BOH;diszkoszvetés;2
1988;Eric Randolph BARNES;USA;súlylökés;2
1921;James K, BROOKER;USA;rúdugrás;1
2008;Olena ANTONOVA;UKR;diszkoszvetés;1
1961;Michelle Mary MASON-BROWN;AUS;magasugrás;2
1921;Frederick Delmont TOOTELL;USA;kalapácsvetés;1
2001;Jaroslav BABA;CZE;magasugrás;1
1936;Jesse OWENS;USA;távolugrás;1
2012;Gerd KANTER;EST;diszkoszvetés;1
1901;Martin SHERIDAN;USA;diszkoszvetés;1
1918;Bjorn Andreas PAULSON;NOR;magasugrás;2
1916;Gabriele HINZMANN;GDR;diszkoszvetés;1
1908;Francis C, IRONS;USA;távolugrás;1
1922;Leonid SHCHERBAKOV;URS;hármasugrás;2
1918;Thomas Theodore BRUCE;AUS;távolugrás;2
1912;William David SCHMIDT;USA;gerelyhajítás;1
1968;Sheila Hilary PARKIN-SHERWOOD;GBR;távolugrás;2
1961;Pauli Lauri NEVALA;FIN;gerelyhajítás;1
2008;Khotso MOKOENA;RSA;távolugrás;2
1921;Pierre LEWDEN;FRA;magasugrás;1
1932;Chuhei NAMBU;JPN;távolugrás;1
1981;Arto HARKONEN;FIN;gerelyhajítás;1
1912;Diana CHRISTOVA-YORGOVA;BUL;távolugrás;2
1960;Dallas Crutcher III LONG;USA;súlylökés;1
2000;Ivan PEDROSO;CUB;távolugrás;1
1968;Valentina KOZYR;URS;magasugrás;1
