év;név;ország;sportág;helyezés
2000;Roman SCHURENKO;UKR;távolugrás;1
1968;Lia MANOLIU;ROU;diszkoszvetés;1
1916;Maria VERGOVA-PETKOVA;BUL;diszkoszvetés;2
1901;John DEWITT;USA;kalapácsvetés;2
1928;Benjamen Van Doren HEDGES;USA;magasugrás;2
1896;Robert GARRETT;USA;súlylökés;1
1922;James Emanuel FUCHS;USA;súlylökés;1
1996;Joe GREENE;USA;távolugrás;1
2000;Kajsa BERGQVIST;SWE;magasugrás;1
2012;Brigetta BARRETT;USA;magasugrás;2
2001;Viktoriya STYOPINA;UKR;magasugrás;1
1932;Mathilde (Tilly) FLEISCHER;GER;gerelyhajítás;1
1922;Aleksandra CHUDINA;URS;gerelyhajítás;2
1920;Frank FOSS;USA;rúdugrás;1
1936;Erwin BLASK;GER;kalapácsvetés;2
1912;Margitta HELMBOLD-GUMMEL;GDR;súlylökés;2
1920;Carl JOHNSON;USA;távolugrás;2
